Order,N,Dofs,Error,Time
2,8,2673,0.000213091,0.113537073
2,16,18785,2.67E-05,0.15580678
2,32,140481,3.33E-06,0.542073727
2,64,1085825,4.17E-07,4.633622885
2,128,8536833,5.21E-08,55.59390903
3,8,4617,2.16E-05,0.140339136
3,16,32657,1.31E-06,0.225008011
3,32,245025,8.14E-08,1.027832747
3,64,1897025,5.08E-09,9.883100033
3,128,14926977,3.18E-10,164.5151136
4,8,8289,1.74E-06,0.170832634
4,16,59585,5.43E-08,0.381052971
4,32,450945,1.70E-09,2.647108555
4,64,3506945,5.87E-11,27.59180999
4,128,27657729,3.90E-11,520.3751028
