2,4,0.25,144,0.05080837230013227
2,8,0.125,544,0.012756003047819927
2,16,0.0625,2112,0.0031912596373156856
2,32,0.03125,8320,0.0007979124391293675
2,64,0.015625,33024,0.00019948283803028908
2,128,0.0078125,131584,4.987096376298826e-05
3,4,0.25,312,0.00336938699226486
3,8,0.125,1200,0.0004230802485898481
3,16,0.0625,4704,5.294541750394235e-05
3,32,0.03125,18624,6.620073008456669e-06
3,64,0.015625,74112,8.275684477556002e-07
3,128,0.0078125,295680,1.0344791041032297e-07
4,4,0.25,544,0.0001668499105998874
4,8,0.125,2112,1.0469205265694329e-05
4,16,0.0625,8320,6.549307329269025e-07
4,32,0.03125,33024,4.094230345288765e-08
4,64,0.015625,131584,2.5590342588125764e-09
4,128,0.0078125,525312,1.599419248362254e-10
5,4,0.25,840,6.587320524409963e-06
5,8,0.125,3280,2.0659994113019972e-07
5,16,0.0625,12960,6.462112822302137e-09
5,32,0.03125,51520,2.0198691392753932e-10
5,64,0.015625,205440,6.312448540646224e-12
5,128,0.0078125,820480,1.9730139346812144e-13
6,4,0.25,1200,2.1644845944511812e-07
6,8,0.125,4704,3.3928658879882213e-09
6,16,0.0625,18624,5.305495721734145e-11
6,32,0.03125,74112,8.290619572092202e-13
6,64,0.015625,295680,1.2935202840526546e-14
6,128,0.0078125,1181184,8.853751186216095e-16
7,4,0.25,1624,6.088885214463937e-09
7,8,0.125,6384,4.770946732697069e-11
7,16,0.0625,25312,3.7308458154605047e-13
7,32,0.03125,100800,5.414202078106599e-15
7,64,0.015625,402304,4.541835284544346e-15
7,128,0.0078125,1607424,4.545568009525307e-15
